time,left,right,center
1740729535.3804448,0,1,0
1740729535.4383585,0,1,0
1740729535.4951274,0,1,0
1740729535.5544436,0,1,0
1740729535.6192555,0,1,0
1740729535.6784601,0,1,0
1740729535.7421372,0,1,0
1740729535.8047662,0,1,0
1740729535.8678207,0,1,0
1740729535.9301558,0,1,0
1740729535.9971733,0,1,0
1740729536.0599167,0,1,0
1740729536.12352,0,1,0
1740729536.184446,0,1,0
1740729536.2489305,0,1,0
1740729536.308808,0,1,0
1740729536.3707144,0,1,0
1740729536.4338331,0,1,0
